alert_id,created_at,window_start,window_end,tipo_alerta,severidade,line,station,jig_id,model,firmware_version,failed_step,error_code,metrica,valor_observado,limiar,evidencia,acao_sugerida,hitl_required,status
17CCD3323D05,2022-09-12T18:00:06,2022-09-12T17:00:06,2022-09-12T18:00:06,FALHA_SISTEMATICA_JIG_ETAPA,BAIXA,L1,L1-ST1,JIG-L1-ST1-1,,,bluetooth,ERR_BT_CAL,taxa_falha_jig_etapa,0.20512820512820512,">= 15.00%, falhas >= 5",8 falhas em 39 tentativas no jig.,Parar ou isolar o jig e abrir manutenção se a recorrência persistir.,True,REVISAO_AMBIGUA
BB98D34D41D4,2022-09-12T18:00:06,2022-09-12T17:00:06,2022-09-12T18:00:06,FALHA_SISTEMATICA_JIG_ETAPA,BAIXA,L4,L4-ST1,JIG-L4-ST1-2,,,drm_keys,ERR_DRM,taxa_falha_jig_etapa,0.4838709677419355,">= 15.00%, falhas >= 5",15 falhas em 31 tentativas no jig.,Parar ou isolar o jig e abrir manutenção se a recorrência persistir.,True,REVISAO_AMBIGUA
998FEC065295,2022-09-12T18:00:06,2022-09-12T17:00:06,2022-09-12T18:00:06,QUEDA_QUALIDADE_FIRMWARE,BAIXA,,,,STB-300,v4.1.2,,,fpy_firmware,0.759493670886076,queda >= 8.00% ou PPM >= 180000,"FPY 75.95%, baseline 91.25%, PPM 240506, seriais 79.",Bloquear ou revisar lote de firmware antes de continuar a produção.,True,REVISAO_AMBIGUA
4BBA07D514A0,2022-09-12T18:00:06,2022-09-12T17:00:06,2022-09-12T18:00:06,MAC_DUPLICADO,ALTA,,,,,,,,seriais_por_mac,45.0,> 1 serial por MAC,"MAC AC:5A:14:FF:FF:FF aparece em 45 seriais: SN100220912071340, SN100220912071637, SN100220912071766, SN100220912072138, SN100220912072498.",Bloquear liberação dos seriais e revisar provisionamento de MAC.,True,ALERTA_CONFIRMADO
2C012F8F5B9B,2022-09-12T18:00:06,2022-09-12T17:00:06,2022-09-12T18:00:06,ERRO_CRITICO_RECORRENTE,ALTA,,,,,,,ERR_DRM,taxa_erro_critico,0.08974358974358974,">= 5.00%, falhas >= 4",35 ocorrencias de ERR_DRM em 390 tentativas.,Revisar provisionamento de chaves DRM e bloquear liberação até validação.,True,ALERTA_CONFIRMADO
EF0AA259E46F,2022-09-12T18:15:06,2022-09-12T17:15:06,2022-09-12T18:15:06,FALHA_SISTEMATICA_JIG_ETAPA,MEDIA,L1,L1-ST1,JIG-L1-ST1-1,,,bluetooth,ERR_BT_CAL,taxa_falha_jig_etapa,0.175,">= 15.00%, falhas >= 5",7 falhas em 40 tentativas no jig.,Parar ou isolar o jig e abrir manutenção se a recorrência persistir.,False,ALERTA_CONFIRMADO
0A3F33020B8C,2022-09-12T18:15:06,2022-09-12T17:15:06,2022-09-12T18:15:06,QUEDA_QUALIDADE_FIRMWARE,ALTA,,,,STB-300,v4.1.2,,,fpy_firmware,0.7619047619047619,queda >= 8.00% ou PPM >= 180000,"FPY 76.19%, baseline 91.25%, PPM 238095, seriais 84.",Bloquear ou revisar lote de firmware antes de continuar a produção.,True,ALERTA_CONFIRMADO
68C82E2129F8,2022-09-12T19:15:06,2022-09-12T18:15:06,2022-09-12T19:15:06,FALHA_SISTEMATICA_JIG_ETAPA,BAIXA,L4,L4-ST1,JIG-L4-ST1-2,,,drm_keys,ERR_DRM,taxa_falha_jig_etapa,0.4375,">= 15.00%, falhas >= 5",14 falhas em 32 tentativas no jig.,Parar ou isolar o jig e abrir manutenção se a recorrência persistir.,True,REVISAO_AMBIGUA
EC96625878B0,2022-09-12T19:15:06,2022-09-12T18:15:06,2022-09-12T19:15:06,QUEDA_QUALIDADE_FIRMWARE,BAIXA,,,,STB-400,v4.1.2,,,fpy_firmware,0.7884615384615384,queda >= 8.00% ou PPM >= 180000,"FPY 78.85%, baseline 91.55%, PPM 211538, seriais 52.",Bloquear ou revisar lote de firmware antes de continuar a produção.,True,REVISAO_AMBIGUA
3F38186531EF,2022-09-12T19:30:06,2022-09-12T18:30:06,2022-09-12T19:30:06,FALHA_SISTEMATICA_JIG_ETAPA,ALTA,L4,L4-ST1,JIG-L4-ST1-2,,,drm_keys,ERR_DRM,taxa_falha_jig_etapa,0.3870967741935484,">= 15.00%, falhas >= 5",12 falhas em 31 tentativas no jig.,Parar ou isolar o jig e abrir manutenção se a recorrência persistir.,True,ALERTA_CONFIRMADO
29F8F286D23D,2022-09-12T19:30:06,2022-09-12T18:30:06,2022-09-12T19:30:06,QUEDA_QUALIDADE_FIRMWARE,BAIXA,,,,STB-100,v4.1.2,,,fpy_firmware,0.813953488372093,queda >= 8.00% ou PPM >= 180000,"FPY 81.40%, baseline 90.91%, PPM 186047, seriais 86.",Bloquear ou revisar lote de firmware antes de continuar a produção.,True,REVISAO_AMBIGUA
00E4E376D75F,2022-09-12T19:45:06,2022-09-12T18:45:06,2022-09-12T19:45:06,QUEDA_QUALIDADE_FIRMWARE,MEDIA,,,,STB-100,v4.1.2,,,fpy_firmware,0.8205128205128205,queda >= 8.00% ou PPM >= 180000,"FPY 82.05%, baseline 90.91%, PPM 179487, seriais 78.",Bloquear ou revisar lote de firmware antes de continuar a produção.,False,ALERTA_CONFIRMADO
EC12416C2240,2022-09-12T20:00:06,2022-09-12T19:00:06,2022-09-12T20:00:06,QUEDA_QUALIDADE_FIRMWARE,BAIXA,,,,STB-300,v4.1.2,,,fpy_firmware,0.8072289156626506,queda >= 8.00% ou PPM >= 180000,"FPY 80.72%, baseline 91.25%, PPM 192771, seriais 83.",Bloquear ou revisar lote de firmware antes de continuar a produção.,True,REVISAO_AMBIGUA
5F0C5F5E33D8,2022-09-12T20:45:06,2022-09-12T19:45:06,2022-09-12T20:45:06,FALHA_SISTEMATICA_JIG_ETAPA,BAIXA,L4,L4-ST2,JIG-L4-ST2-1,,,drm_keys,ERR_DRM,taxa_falha_jig_etapa,0.4411764705882353,">= 15.00%, falhas >= 5",15 falhas em 34 tentativas no jig.,Parar ou isolar o jig e abrir manutenção se a recorrência persistir.,True,REVISAO_AMBIGUA
