window_start,window_end,registros,falhas,taxa_falha,paradas_relacionadas,candidatos_regras,alertas_emitidos,revisoes_hitl
2022-09-12T17:00:06,2022-09-12T18:00:06,390,75,0.19230769230769232,2,5,5,5
2022-09-12T17:15:06,2022-09-12T18:15:06,392,79,0.20153061224489796,2,4,2,1
2022-09-12T17:30:06,2022-09-12T18:30:06,405,87,0.21481481481481482,2,3,0,0
2022-09-12T17:45:06,2022-09-12T18:45:06,391,78,0.19948849104859334,2,2,0,0
2022-09-12T18:00:06,2022-09-12T19:00:06,387,69,0.17829457364341086,1,2,0,0
2022-09-12T18:15:06,2022-09-12T19:15:06,380,71,0.1868421052631579,2,4,2,2
2022-09-12T18:30:06,2022-09-12T19:30:06,374,69,0.18449197860962566,3,4,2,2
2022-09-12T18:45:06,2022-09-12T19:45:06,370,70,0.1891891891891892,3,3,1,0
2022-09-12T19:00:06,2022-09-12T20:00:06,366,77,0.2103825136612022,2,4,1,1
2022-09-12T19:15:06,2022-09-12T20:15:06,363,74,0.20385674931129477,2,2,0,0
2022-09-12T19:30:06,2022-09-12T20:30:06,351,70,0.19943019943019943,1,2,0,0
2022-09-12T19:45:06,2022-09-12T20:45:06,370,71,0.1918918918918919,0,4,2,2
2022-09-12T20:00:06,2022-09-12T21:00:06,377,67,0.17771883289124668,0,4,2,2
2022-09-12T20:15:06,2022-09-12T21:15:06,375,69,0.184,0,5,2,2
2022-09-12T20:30:06,2022-09-12T21:30:06,393,71,0.1806615776081425,0,3,1,0
2022-09-12T20:45:06,2022-09-12T21:45:06,371,72,0.1940700808625337,0,2,0,0
2022-09-12T21:00:06,2022-09-12T22:00:06,354,79,0.2231638418079096,0,4,2,2
2022-09-12T21:15:06,2022-09-12T22:15:06,280,66,0.2357142857142857,0,4,2,1
2022-09-12T21:30:06,2022-09-12T22:30:06,185,56,0.3027027027027027,0,3,1,1
2022-09-12T21:45:06,2022-09-12T22:45:06,106,39,0.36792452830188677,0,3,0,0
2022-09-12T22:00:06,2022-09-12T23:00:06,34,18,0.5294117647058824,0,2,0,0
2022-09-12T22:15:06,2022-09-12T23:15:06,29,14,0.4827586206896552,0,3,0,0
2022-09-12T22:30:06,2022-09-12T23:30:06,22,7,0.3181818181818182,0,2,0,0
2022-09-12T22:45:06,2022-09-12T23:45:06,17,5,0.29411764705882354,0,1,0,0
2022-09-12T23:00:06,2022-09-13T00:00:06,14,5,0.35714285714285715,0,1,0,0
2022-09-12T23:15:06,2022-09-13T00:15:06,3,0,0.0,0,1,0,0
2022-09-12T23:30:06,2022-09-13T00:30:06,1,0,0.0,0,1,0,0
