alert_id,timestamp_alerta,severidade,tipo_alerta,evidencia,acao_sugerida,status_revisao,decisao_humana,responsavel,timestamp_decisao,observacao
17CCD3323D05,2022-09-12T18:00:06,BAIXA,FALHA_SISTEMATICA_JIG_ETAPA,8 falhas em 39 tentativas no jig.,Parar ou isolar o jig e abrir manutenção se a recorrência persistir.,PENDENTE,,,,
BB98D34D41D4,2022-09-12T18:00:06,BAIXA,FALHA_SISTEMATICA_JIG_ETAPA,15 falhas em 31 tentativas no jig.,Parar ou isolar o jig e abrir manutenção se a recorrência persistir.,PENDENTE,,,,
998FEC065295,2022-09-12T18:00:06,BAIXA,QUEDA_QUALIDADE_FIRMWARE,"FPY 75.95%, baseline 91.25%, PPM 240506, seriais 79.",Bloquear ou revisar lote de firmware antes de continuar a produção.,PENDENTE,,,,
4BBA07D514A0,2022-09-12T18:00:06,ALTA,MAC_DUPLICADO,"MAC AC:5A:14:FF:FF:FF aparece em 45 seriais: SN100220912071340, SN100220912071637, SN100220912071766, SN100220912072138, SN100220912072498.",Bloquear liberação dos seriais e revisar provisionamento de MAC.,PENDENTE,,,,
2C012F8F5B9B,2022-09-12T18:00:06,ALTA,ERRO_CRITICO_RECORRENTE,35 ocorrencias de ERR_DRM em 390 tentativas.,Revisar provisionamento de chaves DRM e bloquear liberação até validação.,PENDENTE,,,,
0A3F33020B8C,2022-09-12T18:15:06,ALTA,QUEDA_QUALIDADE_FIRMWARE,"FPY 76.19%, baseline 91.25%, PPM 238095, seriais 84.",Bloquear ou revisar lote de firmware antes de continuar a produção.,PENDENTE,,,,
68C82E2129F8,2022-09-12T19:15:06,BAIXA,FALHA_SISTEMATICA_JIG_ETAPA,14 falhas em 32 tentativas no jig.,Parar ou isolar o jig e abrir manutenção se a recorrência persistir.,PENDENTE,,,,
EC96625878B0,2022-09-12T19:15:06,BAIXA,QUEDA_QUALIDADE_FIRMWARE,"FPY 78.85%, baseline 91.55%, PPM 211538, seriais 52.",Bloquear ou revisar lote de firmware antes de continuar a produção.,PENDENTE,,,,
3F38186531EF,2022-09-12T19:30:06,ALTA,FALHA_SISTEMATICA_JIG_ETAPA,12 falhas em 31 tentativas no jig.,Parar ou isolar o jig e abrir manutenção se a recorrência persistir.,PENDENTE,,,,
29F8F286D23D,2022-09-12T19:30:06,BAIXA,QUEDA_QUALIDADE_FIRMWARE,"FPY 81.40%, baseline 90.91%, PPM 186047, seriais 86.",Bloquear ou revisar lote de firmware antes de continuar a produção.,PENDENTE,,,,
